# DRAFT_NOT_A_VALID_MCMODSYNC_CATALOG
# Binding: candidate14-r3; derived catalog-version: candidate14-r3-20260812-66778b3f91842d0a.
# Missing # mcmod-sync-v4 magic, catalog-version, real URL and Config.jar hash by design.
# SHA256	MD5	Mod ID	Filename	Kind	Incompatible platforms	Name	Version	Chinese description	English description
34ccdacf13bb9351fe43ce61912c2e09b72364e43e787d36ba3d2d04dec75a52	b70470268be8c74a10e10b24a2bf7df6	fabric-language-kotlin	fabric-language-kotlin-1.13.13+kotlin.2.4.10.jar	required		Fabric Language Kotlin	1.13.13+kotlin.2.4.10	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
d87ea28262715ebff45b8a82d493e6b468e7a4521bc021df5d88302196d030a8	e0374dac41d6c641903f9e241911e1d3	ferritecore	ferritecore-7.0.3-neoforge.jar	required		Ferrite Core	7.0.3	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
2e3a8f0e3bda85a7d722720e7ce879cbd9d028d9395c6fc224d329b3c982d9b1	eba1a7f9d9976e983a2b9eb5e915e087	forgeconfigapiport	ForgeConfigAPIPort-v21.1.6-1.21.1-Fabric.jar	required		Forge Config API Port	21.1.6	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
b152376a89cf790ca7966df220f3fa85fb8ecb603225a6a9bdb6684c94944f1e	6047fca6d016fcf8ab2812ddd96af61d	fabric_api	forgified-fabric-api-0.116.15+2.3.1+1.21.1.jar	required		Forgified Fabric API		candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
603e7c9fc8e7020642f2ff6d3a904ef5cb12f7cf8b683c5ff8b08f120d083cff	f169932423af84b27e9526c1db2689fa	ftblibrary	ftb-library-neoforge-2101.1.34.jar	required		FTB Library	2101.1.34	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
1393a85ceb6e4794450d5f06043e3a033278e31b86de8e03950d8b87604b2213	93de42bb644fad478ede2cc67d4aac16	ftbultimine	ftb-ultimine-neoforge-2101.1.15.jar	required		FTB Ultimine	2101.1.15	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
4e5cc1438087b0bc0276969e88b9ad0bdf2bcc60d6caf5fe79e18947d7a29050	cd0823556e6d24046bd0f4ba74cd4981	fzzy_config	fzzy_config-0.7.6+1.21+neoforge.jar	required		Fzzy Config	0.7.6+1.21+neoforge	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
36c1ce14ee18b81c04654f1a6956f2257b7deac07746e960475aaf5c6f25a579	aa8a329ebbeb5dd6f0f95ab5f59925b0	happyghast_equivalence	happyghast-equivalence-1.0.0-equivalence.2+mc1.21.1.jar	required		Happy Ghast Equivalence	1.0.0-equivalence.2+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
af4d838434302ff65f676d3a4be8682666e0ccf95392fcfffbe33e00d79d8d86	4fb01e589786d663c520d79885cccbbd	immersive_paintings	immersive_paintings-neoforge-1.21.1-0.7.8-migration.1.jar	required		Immersive Paintings	0.7.8	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
276f1f65a20d04f536989c4f311949d770b52c440c23c2b904a08860f3c93810	67b89f182472859d1e478477716c9462	jade	Jade-1.21.1-NeoForge-15.10.6.jar	required		Jade		candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
088c583065db05abeedca7868b619d22e204bcd73aafe7736b9eb79bcbb67c8a	ff4901b8ddf3a4a0ae4e72c6aae2da5d	jei	jei-1.21.1-neoforge-19.43.0.393.jar	required		Just Enough Items	19.43.0.393	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
d20006d674b577f352c813ac0864581597f38f03bdc8cbd4d1f2501cf95f3b0a	058b722b2d6ed5419f45bcce65ac1d51	journeymap-wrongloader	journeymap-neoforge-1.21.1-6.0.3.jar	required		Journeymap-NeoForge	not a fabric mod	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
e06fcfea1ff76fb22ead50964c18f22657971e42b6e82f0a2fe844c2f048b463	e396bcde22a1f2b6b9a3b2e0bba3f765	kaleidoscope_cookery_scarecrow_compat	kaleidoscope-cookery-scarecrow-compat-1.0.0+neoforge.1.21.1-candidate13.1.jar	required		Kaleidoscope Cookery Scarecrow Legacy NBT Compatibility	1.0.0+neoforge.1.21.1-candidate13.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
ad022124989ba50fb1b95d58ba7ad2f9fc525a356108307eace169f2850e2e34	02da657f10a3691d38800baa535b7ccd	kaleidoscope_nether_equivalence	kaleidoscope-nether-equivalence-backport-1.1.9-equivalence.3+mc1.21.1.jar	required		Kaleidoscope Nether 1.21.11 Equivalence Backport	1.1.9-equivalence.3+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
e03a7dba3a67768c35f3ca1c0b47892caf4a972f8362d27ff62675c7555a11bc	39229f02068762c1e26092d68ba5b751	kaleidoscope_end	kaleidoscope_end-1.0.14-migration.7-neoforge+mc1.21.1.jar	required		Kaleidoscope End	1.0.14-migration.7-neoforge+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
4698b09f9a3edd84ab37a9506c3b88c7b59e947b21ae894c477998421335ffb6	0dc3631c02ec02673812651c43157328	kaleidoscope_nether	kaleidoscope_nether-1.1.2-neoforge+mc1.21.1.jar	required		Kaleidoscope Nether	1.1.2-neoforge+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
a061fb1e953ad815144304f7567b30876dbbc07b8565069871771f0aaeb63d3f	e83a09214b5f548dc283a8acd4757a96	kaleidoscope_cookery	kaleidoscopecookery-1.4.1.7-migration.3-neoforge+mc1.21.1.jar	required		Kaleidoscope Cookery	1.4.1.7-migration.3-neoforge+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
90d08d87ea9ff6341eeb371cb95bd82cd613fbc34326bc8d1723f598ca9b957b	20e2852151e8020c313c16635da629f0	kaleidoscope_tavern	kaleidoscopetavern-1.2.0-neoforge+mc1.21.1.jar	required		Kaleidoscope Tavern	1.2.0-neoforge+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
2785a4dd6de5c6c56065fd8eb789c82771bd2ee773c30794c23160a3b2c39139	93ec434c7112952f0501211a992538b9	-	kotlinforforge-5.12.0-all.jar	required		kotlinforforge-5.12.0-all		candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
488f33216030c1cb0baa33e59de3d657d08d5795a6c2080c8c8bbbc133fc8757	969860e6a6ebe4dc2e2154b56f05483e	lithium	lithium-neoforge-0.15.4+mc1.21.1.jar	required		Lithium	0.15.4+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
2dd2bec977b8669d0ef6c90fc54a06021dc0998e903b583517052b1b5cda25aa	496dc7ba7cde3405d59b1e668a6a29f1	mcmodsync	MCModSync-1.9.1.jar	required		MCModSync	1.9.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
bccb7d7cf8019d8895a081d563e578712d7cdf93da0ad9eafb31067439c62862	cbc019e7748e92c47825ad0e8d1d99de	migration_resource_overlay	migration-resource-overlay-1.2.0+mc1.21.1-candidate13.jar	required		Migration Resource Error Overlay	1.2.0+mc1.21.1-candidate13	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
0809500f1993861b1f217d6fed89b68e3094396e853b29e9cf9bdd0c9ce0b787	152f7e32383e8e130fdab715b88fd516	mineastr	mineastr-0.6.25.jar	required		MineAstr	0.6.25	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
4fe5146ccc01dbb30bfd1d2ffe4caeaf590e7f24f5d8159028e1865eaa8625dd	1356e6255ee99d54d96a622bcdd49364	mishanguc	mishanguc-1.6.1-1.21.1-migration.1.jar	required		Mishang Urban Construction	1.6.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
1e378d0dd82f7858eca36ae28fbb26b8a9a93b77dda31ead5a48bceb043ff6c4	4170e1a157ac2ddeb2bad223d9c4047f	mishanguc_pale_oak_equivalence	mishanguc-pale-oak-equivalence-backport-1.6.3-beta.5-equivalence.1+mc1.21.1.jar	required		Mishang UC Pale Oak Equivalence Backport	1.6.3-beta.5-equivalence.1+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
01ebd831ac5d12d60965168ee10887fb9de81ce660341f420d0c51e9a1e33415	fd90ffa6572b95b813eed348059a0312	nautilus_equivalence	nautilus-equivalence-0.1.0-equivalence.2+mc1.21.1.jar	required		Nautilus Equivalence	0.1.0-equivalence.2+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
e95209d593bc00d7c5de94f746ffd1dfbfa70ac8fbe938393ef930d00416109c	caaf072f2e2c6261b37b8359ef8631b1	noisium	noisium-neoforge-2.3.0+mc1.21-1.21.1.jar	required		Noisium	2.3.0+mc1.21-1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
3e58a5c5cf33de59da08b175867c482cad6d0bebfaf5b07f6d5653646d74ba41	40593f09b4d62d79d62c96881b2ba6a6	mr_potted_farms	potted-farms-1.1.1-equivalence3.jar	required		Potted Farms	1.1.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
fd71d70cefac0d4068df854d856d612e1103aecd38c0321f195d729d4042a5a9	a1569de06e1086dfe79cbb1b2ad4b33e	respawn_pitch_compat	respawn-pitch-compat-1.0.0+mc1.21.1.jar	required		Respawn Pitch Compatibility	1.0.0+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
647e8a81afbe414dba1df4ba15fd06c5d32d4cb544e68828405e8e074c2e16db	a61dd250e618f8fd62fc6b0943831c50	spark	spark-1.10.124-neoforge.jar	required		spark	1.10.124	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
d2ba7b839a2268e4e223457e813d11aa2476c3bf708a7bba691d8fc851778a4b	0428149c5db7bad43d75e6f758f47678	supermartijn642configlib	supermartijn642configlib-1.1.8-neoforge-mc1.21.jar	required		SuperMartijn642's Config Library	1.1.8	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
29db765c7eb8d91dba017cb108d1b7619e845816fdfadbb0e64bf2ccfd6a801b	186e63c3b4a13f1ccb94039239f13d0f	toms_storage	toms_storage-neoforge-1.21.1-2.4.1-perf5.2.jar	required		Tom's Simple Storage Mod - Unofficial Stability Fork	2.4.1-perf5.2	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
901c4917960ce975cecc9a39c15d32c22beabc23ed3c36f0ce75df5a6cdd9366	844544bf50ac62335a12283461e0a78c	voicechat	voicechat-neoforge-1.21.1-2.6.21.jar	required		Simple Voice Chat	1.21.1-2.6.21	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
86a85c0447315ac17d373e3708425ceb8450d9d0cb1fd9c7abdc82ce8d8e5b92	9cb1b093496e35d294c739b79ddde31a	waypoint_fire_equivalence	waypoint-fire-equivalence-0.1.1+mc1.21.1.jar	required		Waypoint and Fire Rule Equivalence	0.1.1+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
8895a0ce6754c0b74527c356e1c93c0423dfd72ff7644beb59f7bd3f02d46ef1	17e05940e5d39396ef106b8e882e32a4	wool_to_string	WoolToString-NeoForge-1.21.1.jar	required		Wool To String	3.0.0	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
703e01b84558ea9afe28e82b0fb67c12dc09ba2936de70939f52759c52d2e998	a0c916feecf47426e577eb69f07d40ba	xiyuslogin	xiyuslogin-1.4-migration4.jar	required		XiyusLogin	1.4-migration4	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
c410c51e1ecdd9d3ff55eb34b84d71da761a8990ec0993a766c9ba40e8c360e8	e9a8e2005bb8556b9b1dfb45d5f930ed	yuushya	yuushya-1.21.0-neoforge-2.3.0.jar	required		Yuushya	2.3.0	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
<UNRESOLVED_SHA256>	<UNRESOLVED_MD5>	mcmodsync_config	MCModSync-Config.jar	required		MCModSync Client Configuration	1.0.0	等待真实 URL 生成	Generate only after the real URL is frozen
